Word,Freq,Rank
hearts,21,885
forehead,21,886
hot,21,887
hidden,21,888
below,21,889
that.,21,890
dashed,21,891
deadly,21,892
hammer,21,893
gold,21,894
"instant,",21,895
teeth,21,896
precisely,21,897
"waters,",21,898
so.,21,899
level,21,900
pulling,21,901
pull,20,902
on.,20,903
blow,20,904
degree,20,905
drawn,20,906
lofty,20,907
door,20,908
skin,20,909
hence,20,910
instances,20,911
jaw,20,912
"ocean,",20,913
'em,20,914
formed,20,915
quick,20,916
"were,",20,917
us.,20,918
"end,",20,919
"""a",20,920
higher,20,921
way.,20,922
finally,20,923
fain,20,924
whale-ship,20,925
spare,20,926
here's,20,927
mild,20,928
swimming,20,929
water;,20,930
sitting,20,931
slightest,20,932
soft,20,933
original,20,934
french,20,935
laid,20,936
"see,",20,937
jaws,20,938
now;,20,939
captain's,20,940
fancy,20,941
here.,20,942
"part,",20,943
'tis,20,944
boat;,20,945
creatures,20,946
"harpoon,",20,947
speaking,19,948
"bow,",19,949
cabin.,19,950
invested,19,951
coast,19,952
"earth,",19,953
outer,19,954
number,19,955
ain't,19,956
following,19,957
holy,19,958
mates,19,959
instantly,19,960
weather,19,961
"morning,",19,962
dat,19,963
yellow,19,964
lies,19,965
break,19,966
empty,19,967
thinks,19,968
"harpooneer,",19,969
battle,19,970
directly,19,971
hanging,19,972
"bows,",19,973
attached,19,974
world.,19,975
starbuck's,19,976
calm,19,977
truth,19,978
mean,19,979
interval,19,980
golden,19,981
"hands,",19,982
tall,19,983
steelkilt,19,984
stove,19,985
quickly,19,986
hat,19,987
words,19,988
evinced,19,989
"body,",19,990
bit,19,991
former,19,992
separate,19,993
burst,19,994
"""in",19,995
merely,19,996
now.,19,997
striking,19,998
distant,18,999
"may,",18,1000
south,18,1001
bright,18,1002
lying,18,1003
spread,18,1004
"of,",18,1005
intervals,18,1006
it?,18,1007
whiteness,18,1008
opposite,18,1009
"about,",18,1010
regarded,18,1011
"pip,",18,1012
profound,18,1013
stern,18,1014
prodigious,18,1015
"if,",18,1016
side;,18,1017
let's,18,1018
warm,18,1019
precise,18,1020
dignity,18,1021
remain,18,1022
consider,18,1023
ha!,18,1024
"sun,",18,1025
woe,18,1026
person,18,1027
"by,",18,1028
needs,18,1029
otherwise,18,1030
front,18,1031
regularly,18,1032
it!,18,1033
"fire,",18,1034
die,18,1035
fishermen,18,1036
solitary,18,1037
dropping,18,1038
island,18,1039
crossing,18,1040
ordinary,18,1041
aspect,18,1042
reached,18,1043
pagan,18,1044
horn,18,1045
gigantic,18,1046
hull,18,1047
mine,18,1048
circle,18,1049
possible,18,1050
beyond,18,1051
hailed,18,1052
crew.,18,1053
sir;,18,1054
"know,",18,1055
men.,18,1056
gives,18,1057
whaleman,18,1058
terrible,18,1059
swung,18,1060
boat.,18,1061
pursuit,17,1062
"""that",17,1063
dragged,17,1064
thereby,17,1065
spite,17,1066
himself.,17,1067
"nor,",17,1068
swiftly,17,1069
ye?,17,1070
side.,17,1071
duty,17,1072
deeper,17,1073
hint,17,1074
"together,",17,1075
presented,17,1076
room,17,1077
modern,17,1078
originally,17,1079
"days,",17,1080
"wind,",17,1081
awful,17,1082
continually,17,1083
"word,",17,1084
largest,17,1085
yards,17,1086
"""thou",17,1087
bring,17,1088
likewise,17,1089
harpoons,17,1090
vain,17,1091
blubber,17,1092
"matter,",17,1093
previously,17,1094
wonderful,17,1095
engaged,17,1096
all;,17,1097
"teeth,",17,1098
"while,",17,1099
"he,",17,1100
thrust,17,1101
"length,",17,1102
native,17,1103
lowered,17,1104
honour,17,1105
midnight,17,1106
"why,",17,1107
important,17,1108
fedallah,17,1109
rapidly,17,1110
smoking,17,1111
"still,",17,1112
seized,17,1113
"do,",17,1114
"heart,",17,1115
leave,17,1116
hollow,17,1117
loose,17,1118
question,17,1119
dost,17,1120
"fact,",17,1121
intense,17,1122
"thus,",17,1123
forced,17,1124
"ships,",17,1125
fatal,16,1126
meet,16,1127
past,16,1128
circumstance,16,1129
god!,16,1130
carries,16,1131
company,16,1132
drive,16,1133
kings,16,1134
everything,16,1135
bound,16,1136
stubb.,16,1137
mystic,16,1138
surface,16,1139
cause,16,1140
steady,16,1141
keen,16,1142
"bulwarks,",16,1143
answer,16,1144
trying,16,1145
fall,16,1146
friend,16,1147
died,16,1148
ship;,16,1149
oars,16,1150
actually,16,1151
love,16,1152
rose,16,1153
then.,16,1154
fully,16,1155
virtue,16,1156
to.,16,1157
worse,16,1158
sent,16,1159
understand,16,1160
"shipmates,",16,1161
swam,16,1162
advance,16,1163
"whalemen,",16,1164
pay,16,1165
sought,16,1166
hinted,16,1167
he'll,16,1168
rise,16,1169
god's,16,1170
precious,16,1171
putting,16,1172
this;,16,1173
amid,16,1174
thee;,16,1175
"""oh,",16,1176
scientific,16,1177
repeated,16,1178
legs,16,1179
raised,16,1180
swim,16,1181
"daggoo,",16,1182
father,16,1183
inches,16,1184
life.,16,1185
"room,",16,1186
"arm,",16,1187
negro,16,1188
head;,16,1189
hunters,16,1190
content,16,1191
added,16,1192
"tashtego,",16,1193
base,16,1194
"stern,",16,1195
uncommon,16,1196
man!,16,1197
perils,16,1198
mad,16,1199
fairly,16,1200
flukes,16,1201
mast-heads,15,1202
supper,15,1203
"eye,",15,1204
bore,15,1205
orders,15,1206
out.,15,1207
"along,",15,1208
"feet,",15,1209
afterwards,15,1210
"circumstances,",15,1211
tried,15,1212
history,15,1213
escape,15,1214
so;,15,1215
"table,",15,1216
more.,15,1217
showed,15,1218
quietly,15,1219
"it.""",15,1220
proved,15,1221
"least,",15,1222
sir.,15,1223
"meantime,",15,1224
"round,",15,1225
whenever,15,1226
world's,15,1227
"death,",15,1228
chest,15,1229
feet.,15,1230
water.,15,1231
up.,15,1232
beheld,15,1233
longer,15,1234
hitherto,15,1235
solid,15,1236
this:,15,1237
"myself,",15,1238
christian,15,1239
whale!,15,1240
leaves,15,1241
distinct,15,1242
concluded,15,1243
earthly,15,1244
watching,15,1245
step,15,1246
wake,15,1247
inside,15,1248
one;,15,1249
cruising,15,1250
boiling,15,1251
terrors,15,1252
eternal,15,1253
floated,15,1254
grey,15,1255
save,15,1256
"boys,",15,1257
numerous,15,1258
winds,15,1259
"aloft,",15,1260
nameless,15,1261
"his,",15,1262
captured,15,1263
immediately,15,1264
"sir.""",15,1265
"seen,",15,1266
vicinity,15,1267
unaccountable,15,1268
